date,season,home_team,away_team,result,bet_on,prob_model,odd,value,won,stake_flat,pl_flat,bankroll_flat,stake_kelly,pl_kelly,bankroll_kelly
,2025,CR Vasco da Gama,Fluminense FC,H,H,0.551,2.86,1.576,True,31.17,57.99,1616.73,128.34,238.72,2805.56
,2025,Santos FC,EC Vitória,A,,,,,,0.0,0.0,1616.73,0.0,0.0,2805.56
,2025,EC Bahia,SC Internacional,H,H,0.595,1.79,1.065,True,32.33,25.54,1642.27,57.87,45.71,2851.27
,2025,EC Vitória,SC Corinthians Paulista,A,,,,,,0.0,0.0,1642.27,0.0,0.0,2851.27
,2025,Fluminense FC,SC Internacional,H,H,0.604,1.85,1.117,True,32.85,27.92,1670.19,97.99,83.29,2934.56
,2025,São Paulo FC,EC Bahia,H,,,,,,0.0,0.0,1670.19,0.0,0.0,2934.56
,2025,Botafogo FR,Santos FC,D,H,0.611,1.81,1.106,False,33.4,-33.4,1636.79,95.58,-95.58,2838.98
,2025,RB Bragantino,CR Vasco da Gama,A,H,0.513,2.3,1.18,False,32.74,-32.74,1604.05,98.07,-98.07,2740.91
,2025,SE Palmeiras,Cruzeiro EC,D,,,,,,0.0,0.0,1604.05,0.0,0.0,2740.91
,2025,Cruzeiro EC,EC Vitória,H,,,,,,0.0,0.0,1604.05,0.0,0.0,2740.91
,2025,Mirassol FC,Botafogo FR,D,,,,,,0.0,0.0,1604.05,0.0,0.0,2740.91
,2025,SC Corinthians Paulista,Grêmio FBPA,H,H,0.65,1.63,1.06,True,32.08,20.21,1624.26,65.33,41.16,2782.07
,2025,EC Bahia,RB Bragantino,H,,,,,,0.0,0.0,1624.26,0.0,0.0,2782.07
,2025,SC Internacional,CA Mineiro,D,,,,,,0.0,0.0,1624.26,0.0,0.0,2782.07
,2025,CR Vasco da Gama,São Paulo FC,A,,,,,,0.0,0.0,1624.26,0.0,0.0,2782.07
